weekday BEV,ev1,ev2,ev3,ev4,ev5,ev6,ev7,ev8,ev9,ev10,ev11,ev12,ev13,ev14,ev15,ev16,ev17,ev18,ev19,ev20
h1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
h6,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h7,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h8,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
h9,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1
h10,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1
h11,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1
h12,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1
h13,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
h14,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
h15,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
h16,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h17,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
h18,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
h21,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
h22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
