h2vmba3uEV22,h2vmba2uEV22,h2v0ba3uEV22,h2v0ba2uEV22,h2v0ba1uEV22,h1vmba2uEV22,h1v0ba3uEV22,h1v0ba2uEV22,h1v0ba1uEV22,A2vmba2uEV12,A2v0ba3uEV12,A2v0ba2uEV12,A2v0ba1uEV12,A1vmba2uEV12,A1v0ba3uEV12,A1v0ba2uEV12,A1v0ba1uEV12
0.64056826,0.599458107,0.428020342,0.496698881,0.347914269,0.36651905,0.240107961,0.29419572,0.2181448,0.280563206,0.231509892,0.203376682,0.146869093,0.196340212,0.123723732,0.13682576,0.092327837
0.556240513,0.535678017,0.352246406,0.438707946,0.342118176,0.330879975,0.201948651,0.267808117,0.215423293,0.241698958,0.184587047,0.183028438,0.139106103,0.173733338,0.102702793,0.124745259,0.087255414
0.472106949,0.449203831,0.288566594,0.372197472,0.301412012,0.2870041,0.17892006,0.242018488,0.196882775,0.199896828,0.151087572,0.161236349,0.128894153,0.149334969,0.091681554,0.113642056,0.082874294
0.404047337,0.371799153,0.251192228,0.320685019,0.270237838,0.249273902,0.168135087,0.2238342,0.1851424,0.164029565,0.131824646,0.142850489,0.121831254,0.129135603,0.086713721,0.105735067,0.079194177
0.385829798,0.328886709,0.239828352,0.298901009,0.250756611,0.227812127,0.166297013,0.214962037,0.17695036,0.148186215,0.127010392,0.129287831,0.108554875,0.120193758,0.086307871,0.101477308,0.07604272
0.386108481,0.318963333,0.248815818,0.297568183,0.227912365,0.221088603,0.173653149,0.215609865,0.1722808,0.143816888,0.136017179,0.123460887,0.095903073,0.115835765,0.092518067,0.10097214,0.072448749
0.396596742,0.330314455,0.280043483,0.309695404,0.220594838,0.221307215,0.195025811,0.222537862,0.171831731,0.154572391,0.163565868,0.122186764,0.086996421,0.115136305,0.108555709,0.103883975,0.06923707
0.460360454,0.384791497,0.362106566,0.364564412,0.221207558,0.238464515,0.235642065,0.246228116,0.170461661,0.190460399,0.223731616,0.136711712,0.084288835,0.129175838,0.138290142,0.115111448,0.068940291
0.593008383,0.524697818,0.46364009,0.481162249,0.245269231,0.295753535,0.275455663,0.287771864,0.178772071,0.26154006,0.30137955,0.173024228,0.089153651,0.166136393,0.164891821,0.134473572,0.071543703
0.712306706,0.694121245,0.505434979,0.581137273,0.308238295,0.378495406,0.288111955,0.329822288,0.199166533,0.358350187,0.331537946,0.223116601,0.115625419,0.218086385,0.174521637,0.155582652,0.081626203
0.798184911,0.801965616,0.529994875,0.635750239,0.387778044,0.454761102,0.301842607,0.359992225,0.219872,0.431889227,0.349857377,0.275620059,0.158930991,0.273479541,0.182780645,0.174390751,0.09809712
0.838160256,0.849697716,0.519018566,0.661499904,0.438059988,0.504764745,0.293781725,0.377322686,0.247746998,0.470798924,0.339919957,0.30858764,0.208031434,0.305574757,0.18160501,0.188528971,0.116148331
0.838862426,0.851950082,0.489782414,0.65022133,0.45765207,0.525243481,0.280124661,0.379356148,0.267466879,0.491511322,0.325483277,0.321423409,0.236381365,0.325483082,0.170721445,0.19496411,0.128322713
0.845336292,0.843237329,0.487806983,0.633440569,0.468010811,0.531041988,0.278929638,0.375358448,0.282042366,0.503432858,0.3208358,0.327897174,0.249787354,0.345874684,0.173515743,0.198582833,0.137551364
0.89220217,0.863831205,0.502070775,0.644010759,0.478253606,0.555324612,0.291830816,0.384885391,0.2839872,0.540177107,0.341284324,0.337479668,0.256,0.366759879,0.183222814,0.209445465,0.147886498
1.029903846,1.000819726,0.592721164,0.720234187,0.520313926,0.633281659,0.344181271,0.433225451,0.3211448,0.626884204,0.40510893,0.371752528,0.272603713,0.431141456,0.222710979,0.237645873,0.161272106
1.226894477,1.246211868,0.761069209,0.880842339,0.605698679,0.778664067,0.422752789,0.506705834,0.339110224,0.730127706,0.522580621,0.442162288,0.323384535,0.52434907,0.272810001,0.281960912,0.188553728
1.195471893,1.166226072,0.708704099,0.870214014,0.606023981,0.758909358,0.394755024,0.501485072,0.351616121,0.655985089,0.475514351,0.460343589,0.35615935,0.490261967,0.252992141,0.283236926,0.20124859
1.072412518,1.028617772,0.640166748,0.777054889,0.561114577,0.675723675,0.370813671,0.464069102,0.358131684,0.572861353,0.425686595,0.414928568,0.335225167,0.42454982,0.235434201,0.262532131,0.191259202
0.950378019,0.878327555,0.56433486,0.666943757,0.516217287,0.590287656,0.337977688,0.416939735,0.337252598,0.494016732,0.367667103,0.358032117,0.298638501,0.370722022,0.210938052,0.236287251,0.181270011
0.840850665,0.73947808,0.509204411,0.5775083,0.475386691,0.516280316,0.307646696,0.374912825,0.310555911,0.427035037,0.328206183,0.314342762,0.268386963,0.327237563,0.186969341,0.212198217,0.16776699
0.719241991,0.596969475,0.432179196,0.478605974,0.408528177,0.432287821,0.264614901,0.326873102,0.29237909,0.348899977,0.272595191,0.2616913,0.229607378,0.272009804,0.156197097,0.184606917,0.147609733
0.589580089,0.471225761,0.345306741,0.386029555,0.328903419,0.352945234,0.219462818,0.278783549,0.261935304,0.277023865,0.20770377,0.205450274,0.182920728,0.219020701,0.124805752,0.155239324,0.128943018
0.491721457,0.382832879,0.281959514,0.327319833,0.281997001,0.290664116,0.188363858,0.244647501,0.23040655,0.220685207,0.16289951,0.165614145,0.144736151,0.176972352,0.103718173,0.133243666,0.108784748
0.428427868,0.33415989,0.247877697,0.294189959,0.247335135,0.249423589,0.171996438,0.222843047,0.209933014,0.181296773,0.136492195,0.139547358,0.117097685,0.148465014,0.091352564,0.116163189,0.09245399
0.391217028,0.311091085,0.237073019,0.280999578,0.225114577,0.225880867,0.165575213,0.211355323,0.192799039,0.156501403,0.126086303,0.123751659,0.100839783,0.128893796,0.086006495,0.105386064,0.082399856
0.37822266,0.301088279,0.233799322,0.277223854,0.224526126,0.212988424,0.163279935,0.206165558,0.182103035,0.142966778,0.121801243,0.115671505,0.090816724,0.117261537,0.083177775,0.099087718,0.076526517
0.377690793,0.302854867,0.236510565,0.288114733,0.21888101,0.21015075,0.164182237,0.210011902,0.1779496,0.139627581,0.123011527,0.114972545,0.08436458,0.113300072,0.083778587,0.097961244,0.072707358
0.416092611,0.342860658,0.252041705,0.336991967,0.229093037,0.227393517,0.170574925,0.229637642,0.179296563,0.154971805,0.134256236,0.128537424,0.084966428,0.124054305,0.088313027,0.104594869,0.072692973
0.512351551,0.459024702,0.297962291,0.421535176,0.266669868,0.288076221,0.191774377,0.257293019,0.192794707,0.210406396,0.163866318,0.157259392,0.097103746,0.162854578,0.103469455,0.118101801,0.078778884
0.585393895,0.539119627,0.388275518,0.457955113,0.275191592,0.326588461,0.240191306,0.271432925,0.202030327,0.258605015,0.232578504,0.180260237,0.118247724,0.188438951,0.136922365,0.128348707,0.083552767
0.6435613,0.550454552,0.496543565,0.474329728,0.286705282,0.327822783,0.299402492,0.28287989,0.2000936,0.278094406,0.30893511,0.192032782,0.12872006,0.185460463,0.178505001,0.135105159,0.08314183
0.675600197,0.584737902,0.531212626,0.48803841,0.306433033,0.353111349,0.30993284,0.29423706,0.200990392,0.305208092,0.332660157,0.208753124,0.139560779,0.207765194,0.181167473,0.141868976,0.088193971
