h2vmba3uEV22,h2vmba2uEV22,h2v0ba3uEV22,h2v0ba2uEV22,h2v0ba1uEV22,h1vmba2uEV22,h1v0ba3uEV22,h1v0ba2uEV22,h1v0ba1uEV22,A2vmba2uEV12,A2v0ba3uEV12,A2v0ba2uEV12,A2v0ba1uEV12,A1vmba2uEV12,A1v0ba3uEV12,A1v0ba2uEV12,A1v0ba1uEV12
1.005458526,0.72610342,0.788721289,0.699235823,0.66689595,0.631706528,0.771831171,0.564870564,0.6608552,0.82392762,0.601003061,0.623518625,0.50378805,0.587576455,0.576012853,0.514472136,0.501319222
1.02764788,0.72792643,0.782044375,0.703550459,0.694078904,0.634750893,0.754715949,0.565393821,0.647576707,0.704401959,0.611444041,0.582295303,0.493336754,0.576939281,0.564204524,0.503345549,0.480117135
0.946178765,0.725150544,0.77998322,0.699745012,0.665405506,0.633882789,0.743113574,0.561454998,0.614836523,0.639635282,0.58953419,0.569781702,0.507734418,0.543150061,0.566614381,0.497331425,0.516204137
0.971327663,0.710398897,0.778495297,0.697290947,0.625645374,0.62400309,0.754442891,0.563471696,0.594120758,0.647566765,0.561501779,0.610699871,0.515683032,0.520310826,0.565995222,0.490305998,0.491488991
0.987196988,0.730049327,0.795233816,0.717838883,0.650798134,0.637077976,0.768598891,0.569262142,0.594058412,0.647139473,0.57841966,0.587251737,0.589402268,0.531889575,0.585153918,0.491761895,0.505094535
1.017020983,0.746955345,0.835325388,0.728700086,0.626007343,0.634505227,0.798232608,0.57742455,0.601552533,0.659609718,0.590511318,0.586463573,0.552411213,0.518366616,0.593976242,0.496160082,0.538927489
1.030626472,0.754572968,0.885452399,0.749231927,0.617069396,0.645026333,0.837211318,0.589461544,0.579141953,0.650753297,0.637102526,0.578640574,0.536546436,0.514006552,0.628519088,0.505864362,0.559674695
1.018429725,0.773902393,0.929921861,0.781120318,0.606135508,0.659785485,0.885357183,0.611607129,0.585275181,0.680883638,0.724133669,0.624486844,0.552182594,0.537728354,0.672223679,0.529747754,0.571188422
1.061701438,0.829378035,1.018968438,0.846801764,0.633679674,0.677709488,0.939118449,0.657572943,0.586543718,0.753267279,0.78881216,0.633339081,0.575560635,0.535851702,0.753758586,0.542610592,0.547103356
1.208295973,0.873310146,1.06706077,0.900230241,0.64091499,0.699091998,0.965007339,0.673031689,0.587403642,0.804645226,0.76282993,0.665574046,0.525574581,0.504824329,0.76822633,0.549592127,0.579591619
1.258422232,0.922590389,1.061877983,0.909807694,0.662915387,0.753524888,0.949387714,0.676147439,0.604110456,0.922119947,0.824728115,0.737376344,0.572726152,0.567877602,0.759433989,0.573902715,0.571716605
1.269004923,0.92458343,1.023897071,0.913819907,0.707925413,0.779786669,0.945176193,0.675550459,0.607674055,0.905508415,0.779162945,0.813858403,0.497725709,0.625246672,0.740660031,0.600053994,0.54102814
1.282793824,0.914995478,0.990970077,0.875855636,0.765019463,0.751598421,0.928236601,0.678065613,0.669191016,0.894337302,0.786998588,0.753375152,0.526418635,0.578283385,0.705502945,0.58066269,0.554667483
1.200502994,0.905818656,0.969781166,0.854170295,0.664631525,0.743734362,0.913946184,0.665303337,0.694422546,0.819429527,0.789884407,0.768624409,0.500226932,0.575714602,0.704695639,0.574922139,0.602723146
1.179525509,0.905842315,0.945319686,0.825969097,0.712600409,0.768337984,0.901535212,0.654616588,0.637100519,0.821267847,0.794871116,0.719804505,0.575457143,0.594448454,0.697962552,0.573931893,0.586603698
1.183944368,0.916189782,0.94493235,0.823555894,0.743554687,0.77520356,0.893865883,0.651321838,0.541039411,0.776813044,0.793844438,0.731211371,0.48285343,0.570505251,0.683430484,0.579802746,0.671747502
1.20906088,0.931027495,0.953903423,0.85062932,0.713834168,0.815213825,0.882069867,0.658264091,0.619644162,0.960060367,0.776958239,0.769474403,0.578244036,0.647948549,0.676606259,0.592580708,0.565779605
1.263117393,0.959630239,0.959414009,0.866989793,0.721757041,0.803165192,0.882492205,0.643316708,0.588129493,0.91206537,0.71968254,0.736865044,0.502597793,0.664600308,0.67614607,0.587252577,0.650584743
1.291114268,0.968824163,0.959343947,0.860307851,0.787929219,0.81778725,0.882787306,0.656004701,0.668517439,0.913088188,0.699266773,0.740787259,0.379360547,0.645831132,0.684782059,0.564485588,0.647319229
1.19522466,0.893720698,0.914911985,0.817058049,0.832782713,0.768954632,0.871520621,0.641757534,0.686949156,0.867240149,0.680483156,0.742565005,0.489232928,0.604801788,0.647149753,0.542835537,0.699828028
1.228033264,0.865438002,0.908429839,0.808313039,0.823146156,0.745683694,0.863354055,0.635649106,0.674452861,0.861175972,0.637078791,0.712984576,0.472555894,0.563208866,0.64372009,0.513235411,0.621203598
1.126659795,0.848285606,0.896624311,0.79632359,0.76890248,0.728786729,0.836900222,0.641905687,0.597506875,0.736182592,0.601612063,0.686507256,0.588949765,0.54817472,0.621794773,0.518666616,0.605596149
1.152071697,0.84718099,0.881975709,0.796295257,0.761614829,0.71077456,0.843641259,0.631912929,0.616450661,0.75617797,0.600109702,0.64076915,0.527022129,0.525973347,0.600384492,0.510018419,0.610223649
1.115693722,0.854745574,0.879302002,0.789463838,0.595484751,0.707797027,0.827296168,0.630812471,0.576646082,0.700168004,0.597623806,0.634234776,0.50219242,0.579093124,0.589722477,0.502816135,0.608450546
1.107451596,0.862218659,0.895711257,0.798028314,0.660241507,0.718503836,0.848955075,0.641967352,0.592891547,0.689983044,0.607222831,0.612711635,0.512445172,0.553552843,0.600083208,0.507254308,0.579173461
1.193412436,0.877922218,0.913119626,0.82093308,0.64191462,0.724712582,0.859172955,0.652942225,0.597692189,0.663562817,0.624338567,0.653629636,0.496305145,0.577784775,0.609694318,0.523085697,0.562551124
1.163473769,0.902196706,0.949654004,0.853052597,0.639378983,0.742814402,0.883252108,0.666291935,0.62879077,0.660592855,0.615374923,0.644904035,0.475340419,0.57700632,0.615392957,0.511165881,0.575022503
1.234152957,0.943000188,0.979369281,0.90389596,0.674973005,0.772241671,0.903850833,0.692275507,0.633892505,0.726491685,0.613112825,0.685311628,0.495360058,0.594866595,0.623601901,0.552597514,0.580655387
1.30980471,1.038283794,1.029458561,1.004402562,0.712118642,0.834181949,0.933567878,0.747020789,0.6813087,0.766941039,0.673857754,0.734527558,0.552526326,0.640630219,0.676607298,0.57949151,0.58318938
1.386251128,1.169101085,1.12775319,1.106484543,0.772797285,0.933465847,0.993512733,0.790459057,0.683833612,0.882171586,0.707962698,0.79879837,0.579567683,0.636169232,0.698429732,0.6283013,0.652368175
1.442793605,1.16282988,1.237098353,1.114784784,0.81518797,0.956041359,1.082967657,0.817197166,0.697101252,0.928220673,0.858587299,0.841862065,0.622766562,0.669043192,0.766627228,0.628081448,0.660319782
1.475161914,1.163338724,1.334689706,1.121913016,0.820958952,0.920069317,1.162039447,0.826037848,0.653818681,0.900855135,0.984111522,0.842636283,0.690594226,0.688634775,0.834725893,0.652664498,0.665544445
1.482993553,1.171064545,1.37355543,1.105543176,0.811420982,0.923742216,1.207581252,0.838042387,0.651886801,0.933521266,1.017422745,0.848903916,0.616410235,0.748788377,0.886891064,0.674694842,0.605923676
1.476280428,1.137977732,1.30932619,1.081987533,0.790255873,0.937891756,1.16089688,0.806437312,0.722268903,1.012563042,0.988796651,0.867822358,0.607039283,0.749014105,0.879515689,0.649268122,0.597383877
1.435494201,1.106788873,1.199795996,1.022988899,0.772361533,0.90945296,1.086943717,0.760869531,0.637023126,0.980154054,0.957555275,0.824021689,0.569793557,0.738920298,0.837389139,0.623294861,0.611526961
1.49045892,1.020180477,1.119296662,0.949438242,0.742212016,0.854983257,1.021168305,0.732555093,0.631595411,0.900228074,0.884673505,0.805863262,0.601743269,0.661512309,0.740521539,0.613283306,0.638723588
1.324175582,0.974418636,1.045218776,0.900391324,0.781685838,0.795462481,0.954669058,0.693441626,0.582925925,0.860378791,0.858427534,0.735875888,0.627391436,0.646339749,0.725657804,0.583123546,0.672803837
1.313362994,0.962433694,1.032406153,0.896469854,0.741550924,0.799147219,0.94439441,0.68498257,0.584891301,0.866308668,0.819336504,0.711849062,0.613503285,0.578452028,0.713392575,0.576003346,0.680305614
1.351825805,1.007929684,1.065589441,0.94079315,0.796585054,0.820371342,0.993685523,0.723151272,0.651057087,0.889987495,0.838675229,0.71938089,0.591018926,0.705293927,0.723666965,0.612198494,0.707524795
1.358647992,1.089796681,1.143554769,1.018079439,0.84706118,0.892079986,1.045735927,0.775572939,0.735173002,0.929183492,0.914389632,0.853012884,0.661576504,0.663081152,0.779200998,0.689356835,0.728125523
1.547156178,1.167584125,1.18326303,1.078706486,0.950363946,0.926552316,1.067758924,0.815385027,0.814852832,1.165604329,0.941359414,0.866958594,0.887955578,0.780164674,0.808332585,0.713885792,0.760652158
1.528834255,1.214671491,1.245323212,1.115981963,0.892933514,0.968552637,1.093588215,0.827304449,0.897135828,1.11836427,1.079256811,0.896662985,0.818204153,0.744062831,0.817026292,0.737764158,0.817640929
1.587306486,1.217183743,1.213573759,1.100619896,0.941963561,0.958384392,1.07917805,0.810002556,0.839146271,1.144706592,0.942241718,0.927342264,0.847093656,0.773239005,0.797613623,0.722204654,0.81726285
1.43027015,1.129144645,1.138130244,1.01883453,1.056113421,0.939680824,1.058455309,0.779950233,0.715420899,1.034430797,0.874556787,0.855418561,0.811557521,0.716856552,0.769149213,0.699215946,0.800082189
1.498647088,1.101300144,1.113248773,0.991129714,0.868511343,0.919463963,1.048669816,0.764762575,0.745819265,1.028115325,0.880359592,0.852539974,0.719362686,0.775623264,0.753316984,0.652229468,0.724567676
1.461461385,1.055515919,1.095902759,0.970672108,0.889383375,0.888588317,1.024130962,0.761421369,0.755427863,0.943712222,0.835520693,0.797022101,0.749660645,0.745143937,0.717333803,0.65942018,0.660834555
