2020 DK1,2020 DK2,2025 DK1,2025 DK2,2030 DK1,2030 DK2,2035 DK1,2035 DK2,2040 DK1,2040 DK2,DATETIME
"211,48","211,48",280,280,300,290,290,290,110,330,01/1/19 01:00:00
"75,20","75,20",340,340,300,290,290,290,110,310,01/1/19 02:00:00
"-30,47","-30,47",280,280,290,290,300,300,280,280,01/1/19 03:00:00
"-74,00","-74,00",280,280,290,290,290,290,280,280,01/1/19 04:00:00
"-55,33","-55,33",280,280,290,290,280,280,280,280,01/1/19 05:00:00
"-93,72","-93,72",270,270,270,270,110,110,110,110,01/1/19 06:00:00
"-128,81","-128,81",270,270,220,220,110,110,110,110,01/1/19 07:00:00
"-112,54","-112,54",280,280,270,270,250,250,110,110,01/1/19 08:00:00
"-36,81","-36,81",280,280,270,270,110,190,110,290,01/1/19 09:00:00
"-47,27","-47,27",280,280,270,270,110,290,80,300,01/1/19 10:00:00
"-36,81","-36,81",280,280,280,290,110,290,40,300,01/1/19 11:00:00
"3,36","3,36",280,280,280,290,110,290,40,350,01/1/19 12:00:00
"0,90","0,90",280,280,280,290,110,300,40,430,01/1/19 13:00:00
"-0,15","-0,15",280,280,280,290,280,300,80,440,01/1/19 14:00:00
"0,00","0,00",290,290,290,290,300,300,280,440,01/1/19 15:00:00
"-0,22","-0,22",300,300,290,300,320,320,150,440,01/1/19 16:00:00
"14,71","14,71",340,340,300,300,320,330,200,440,01/1/19 17:00:00
"67,66","67,66",340,340,290,300,320,320,200,440,01/1/19 18:00:00
"0,52","0,52",300,300,290,300,300,310,110,330,01/1/19 19:00:00
"-37,11","-37,11",290,290,290,290,280,290,110,330,01/1/19 20:00:00
"-52,12","-52,12",280,280,290,290,110,290,110,300,01/1/19 21:00:00
"-119,55","-119,55",290,290,290,300,290,300,110,300,01/1/19 22:00:00
"-36,37","-36,37",280,280,290,290,110,290,280,300,01/1/19 23:00:00
"-216,03","-216,03",270,280,280,280,110,290,90,300,01/1/19 00:00:00
"-250,65","-250,65",270,270,220,270,110,290,40,290,01/2/19 01:00:00
"-342,87","-342,87",270,270,110,270,110,290,30,290,01/2/19 02:00:00
"-360,56","-360,56",270,270,110,270,110,290,30,290,01/2/19 03:00:00
"-250,88","-250,88",260,260,110,110,110,110,30,290,01/2/19 04:00:00
"-250,43","-250,43",270,270,110,110,40,110,30,130,01/2/19 05:00:00
"-132,83","-132,83",270,270,110,110,40,110,40,230,01/2/19 06:00:00
"-0,07","-0,07",270,280,110,150,110,110,40,300,01/2/19 07:00:00
"279,47","279,47",280,280,280,280,110,290,100,300,01/2/19 08:00:00
"358,84","358,84",330,330,300,300,280,290,110,290,01/2/19 09:00:00
"378,86","378,86",350,350,300,300,300,300,280,290,01/2/19 10:00:00
"359,22","359,22",350,350,300,300,300,300,280,290,01/2/19 11:00:00
"363,32","363,32",350,350,300,300,300,300,280,290,01/2/19 12:00:00
"372,88","372,88",350,360,300,300,300,300,280,300,01/2/19 13:00:00
"352,87","352,87",350,360,300,300,300,300,280,300,01/2/19 14:00:00
"370,64","380,27",360,360,300,300,300,300,300,300,01/2/19 15:00:00
"400,73","391,10",370,370,320,320,320,320,310,310,01/2/19 16:00:00
"418,20","418,20",390,390,380,380,400,400,330,330,01/2/19 17:00:00
"425,22","425,22",410,410,430,370,400,400,330,330,01/2/19 18:00:00
"413,57","413,57",410,410,440,370,400,400,330,520,01/2/19 19:00:00
"409,92","409,92",410,410,430,370,420,400,510,510,01/2/19 20:00:00
"402,15","402,15",390,390,380,370,400,400,330,430,01/2/19 21:00:00
"393,56","393,56",390,390,380,370,330,330,330,440,01/2/19 22:00:00
"388,94","388,94",360,360,370,370,330,330,300,330,01/2/19 23:00:00
"379,00","379,00",340,340,330,330,300,300,300,300,01/2/19 00:00:00
"320,35","320,35",340,340,300,300,300,320,300,330,01/3/19 01:00:00
"337,59","337,59",290,290,300,300,300,320,300,400,01/3/19 02:00:00
"360,66","360,66",290,290,300,300,320,320,300,330,01/3/19 03:00:00
"361,34","361,34",290,290,290,290,290,300,110,300,01/3/19 04:00:00
"364,25","364,25",290,290,290,290,300,300,110,300,01/3/19 05:00:00
"342,82","342,82",290,290,290,290,280,290,60,290,01/3/19 06:00:00
"381,27","381,27",300,300,290,290,290,290,110,290,01/3/19 07:00:00
"393,96","402,47",340,340,290,300,290,300,110,300,01/3/19 08:00:00
